Subject -- Places	Places
Subject -- jpeg	Type -- image -- jpeg
Subject -- Color	Format -- Color
Subject -- Maps	Format -- Maps
Subject -- Hand-colored	Format -- Color -- Hand-colored
Subject -- Cartoons	Format -- Cartoons
Subject -- Maps, Manuscript	Format -- Maps -- Maps, Manuscript
Subject -- Pictures	Format
Subject -- Albums	Format -- Albums
Subject -- Reproductions	Format -- Reproductions
Subject -- Stereographs	Format -- Stereographs
Subject -- Design drawings	Format -- Design drawings
Subject -- Cityscapes	Format -- Cityscapes
Subject -- People	Kinds of People
Subject -- Objects -- Built environment -- Architectural & site components	Built environment
Subject -- Objects -- Built environment -- Facilities	Built environment
Subject -- Bands	Subject -- Music -- Bands
Subject -- Towboats -- Interiors	Subject -- Towboats
Subject -- Baseball team -- St. Louise Cardinals -- Uniforms	Subject -- Objects -- Clothing & dress -- Uniforms
Subject -- Equitable Gas Company -- Disasters	Subject -- Disasters
Subject -- Railroads -- Accidents	Subject -- Accidents
Subject -- World War, 1939-1945 -- Women	Subject -- People -- Women
Subject -- World War, 1939 -- Women	Subject -- People -- Women
Subject -- Employment -- Economic & social conditions -- Women	Subject -- People -- Women
Subject -- Backyards	Subject -- Sites -- Yards -- Backyards
Subject -- Festive decorations	Subject -- Objects -- Decorations -- Festive decorations
Subject -- Veterans -- Education	Subject -- Disciplines -- Education
Subject -- Communication -- Advertising -- Food	Subject -- Objects -- Food
Subject -- Buildings -- Cleaning	Subject -- Activities -- Cleaning
Subject -- Places -- Pennsylvania -- Pittsburgh -- Cleaning	Subject -- Activities -- Cleaning
Subject -- World War, 1935-1945 -- War work -- Schools	Subject -- Educational facilities -- Schools
Subject -- Places -- Pennsylvania -- Pittsburgh -- Interiors	Subject -- Buildings -- Interiors
Subject -- Atomic power-plants -- Models	Subject -- Objects -- Models
Subject -- Open-hearth furnaces -- Models	Subject -- Objects -- Models
Subject -- Blast furnaces -- Models	Subject -- Objects -- Models
Subject -- Aircraft -- Airplanes -- Engines	Subject -- Engines
Subject -- Objects -- Food -- Transportation	Subject -- Transportation
Subject -- Natural phenomena -- Air -- Pollution	Subject -- Pollution
Subject -- Indians of North America -- Dance	Subject -- Art -- Dance
Subject -- West Mifflin (Pa.) -- Aerial views	Subject -- Aerial views
Subject -- Point State Park (Pittsburgh, Pa.) -- Aerial views	Subject -- Aerial views
Subject -- Sharpsburg (Pa.) -- Aerial views	Subject -- Aerial views
Subject -- Etna (Pa.) -- Aerial views	Subject -- Aerial views
Subject -- H.J. Heinz Company (Pittsburgh, Pa.) -- Aerial views	Subject -- Aerial views
Subject -- Aliquippa (Pa.) -- Aerial views	Subject -- Aerial views
Places -- Pennsylvania -- Pittsburgh -- Design and Construction	Built environment -- Design and Construction


